c1,ind,year,emp,wage,cap,indoutpt,n,w,k,ys,rec,yearm1,id,nL1,nL2,wL1,kL1,kL2,ysL1,ysL2,yr1976,yr1977,yr1978,yr1979,yr1980,yr1981,yr1982,yr1983,yr1984
261-1,6,1977,7.8800001,22.8421,2.0624001,108.9675,2.064328,3.1286054,.7238704,4.6910496,261,1976,38,2.0092874,,3.2737997,.73534423,,4.6650858,,0,1,0,0,0,0,0,0,0
262-1,6,1978,8.2550001,22.410601,2.2518001,107.8624,2.1108191,3.109534,.81172991,4.6808562,262,1977,38,2.064328,2.0092874,3.1286054,.7238704,.73534423,4.6910496,4.6650858,0,0,1,0,0,0,0,0,0
263-1,6,1979,8.1619997,25.463699,2.3903999,104.5668,2.0994892,3.2372539,.87146068,4.649826,263,1978,38,2.1108191,2.064328,3.109534,.81172991,.7238704,4.6808562,4.6910496,0,0,0,1,0,0,0,0,0
264-1,6,1980,7.4520001,27.408899,2.0258999,100,2.0084825,3.3108678,.70601398,4.6051702,264,1979,38,2.0994892,2.1108191,3.2372539,.87146068,.81172991,4.649826,4.6808562,0,0,0,0,1,0,0,0,0
265-1,6,1981,5.9330001,27.7596,1.39,92.742996,1.78053,3.3235817,.32930374,4.5298324,265,1980,38,2.0084825,2.0994892,3.3108678,.70601398,.87146068,4.6051702,4.649826,0,0,0,0,0,1,0,0,0
266-1,6,1982,5.0380001,27.7857,1.3926001,90.038597,1.6170092,3.3245215,.33117256,4.5002384,266,1981,38,1.78053,2.0084825,3.3235817,.32930374,.70601398,4.5298324,4.6051702,0,0,0,0,0,0,1,0,0
267-1,4,1977,1.484,31.710199,.23370001,116.225,.39474112,3.4566383,-1.453717,4.755528,267,1982,39,,,,,,,,0,1,0,0,0,0,0,0,0
268-1,4,1978,1.551,26.575199,.29390001,114.975,.43889987,3.2799785,-1.2245157,4.7447147,268,1977,39,.39474112,,3.4566383,-1.453717,,4.755528,,0,0,1,0,0,0,0,0,0
269-1,4,1979,1.556,25.7082,.3448,111.825,.44211844,3.24681,-1.0647907,4.7169352,269,1978,39,.43889987,.39474112,3.2799785,-1.2245157,-1.453717,4.7447147,4.755528,0,0,0,1,0,0,0,0,0
270-1,4,1980,1.625,27.4095,.3461,106.675,.48550782,3.3108897,-1.0610275,4.6697869,270,1979,39,.44211844,.43889987,3.24681,-1.0647907,-1.2245157,4.7169352,4.7447147,0,0,0,0,1,0,0,0,0
271-1,4,1981,1.4069999,27.805201,.29980001,97.300003,.34145975,3.325223,-1.2046397,4.5777988,271,1980,39,.48550782,.44211844,3.3108897,-1.0610275,-1.0647907,4.6697869,4.7169352,0,0,0,0,0,1,0,0,0
272-1,4,1982,.81400001,27.4953,.2066,89.525002,-.2057949,3.3140152,-1.5769707,4.4945178,272,1981,39,.34145975,.48550782,3.325223,-1.2046397,-1.0610275,4.5777988,4.6697869,0,0,0,0,0,0,1,0,0
273-1,4,1983,.699,29.118299,.1742,89.599998,-.35810453,3.3713667,-1.7475512,4.4953551,273,1982,39,-.2057949,.34145975,3.3140152,-1.5769707,-1.2046397,4.4945178,4.5777988,0,0,0,0,0,0,0,1,0
274-1,6,1976,13.163,26.122801,1.6686,106.5556,2.57741,3.2628086,.51198494,4.6686668,274,1983,40,,,,,,,,1,0,0,0,0,0,0,0,0
275-1,6,1977,12.894,23.8501,1.6615,108.2693,2.556762,3.1717885,.50772077,4.6846218,275,1976,40,2.57741,,3.2628086,.51198494,,4.6686668,,0,1,0,0,0,0,0,0,0
276-1,6,1978,12.169,23.3762,1.6321,108.1387,2.4988916,3.1517184,.48986751,4.6834145,276,1977,40,2.556762,2.57741,3.1717885,.50772077,.51198494,4.6846218,4.6686668,0,0,1,0,0,0,0,0,0
277-1,6,1979,12.38,24.396099,1.6012,105.3907,2.5160823,3.1944232,.47075334,4.6576743,277,1978,40,2.4988916,2.556762,3.1517184,.48986751,.50772077,4.6834145,4.6846218,0,0,0,1,0,0,0,0,0
278-1,6,1980,12.662,27.2358,1.9253,101.1417,2.5386055,3.3045323,.65508181,4.6165223,278,1979,40,2.5160823,2.4988916,3.1944232,.47075334,.48986751,4.6576743,4.6834145,0,0,0,0,1,0,0,0,0
279-1,6,1981,12.736,28.7736,1.8217,94.557297,2.5444326,3.3594582,.59977013,4.5492058,279,1980,40,2.5386055,2.5160823,3.3045323,.65508181,.47075334,4.6165223,4.6576743,0,0,0,0,0,1,0,0,0
280-1,6,1982,12.195,28.9251,1.6871001,90.714699,2.5010259,3.3647099,.52301109,4.5077195,280,1981,40,2.5444326,2.5386055,3.3594582,.59977013,.65508181,4.5492058,4.6165223,0,0,0,0,0,0,1,0,0
281-1,4,1977,12.429,28.0721,1.39,116.225,2.5200324,3.3347762,.32930374,4.755528,281,1982,41,,,,,,,,0,1,0,0,0,0,0,0,0
282-1,4,1978,14.234,25.745701,1.5624,114.975,2.6556334,3.2482677,.44622308,4.7447147,282,1977,41,2.5200324,,3.3347762,.32930374,,4.755528,,0,0,1,0,0,0,0,0,0
283-1,4,1979,14.737,25.4566,1.9237,111.825,2.6903613,3.236975,.65425038,4.7169352,283,1978,41,2.6556334,2.5200324,3.2482677,.44622308,.32930374,4.7447147,4.755528,0,0,0,1,0,0,0,0,0
284-1,4,1980,14.829,26.225,2.2251,106.675,2.6965847,3.2667131,.79980189,4.6697869,284,1979,41,2.6903613,2.6556334,3.236975,.65425038,.44622308,4.7169352,4.7447147,0,0,0,0,1,0,0,0,0
285-1,4,1981,14.911,26.935499,2.2781999,97.300003,2.7020993,3.2934451,.8233856,4.5777988,285,1980,41,2.6965847,2.6903613,3.2667131,.79980189,.65425038,4.6697869,4.7169352,0,0,0,0,0,1,0,0,0
286-1,4,1982,13.824,27.965599,2.2105999,89.525002,2.6264062,3.3309751,.79326391,4.4945178,286,1981,41,2.7020993,2.6965847,3.2934451,.8233856,.79980189,4.5777988,4.6697869,0,0,0,0,0,0,1,0,0
287-1,4,1983,13.126,29.791401,2.1630001,89.599998,2.574595,3.3942199,.77149618,4.4953551,287,1982,41,2.6264062,2.7020993,3.3309751,.79326391,.8233856,4.4945178,4.5777988,0,0,0,0,0,0,0,1,0
288-1,6,1976,1.228,24.006001,.2832,106.1747,.20538686,3.1783037,-1.2616019,4.6650858,288,1983,42,,,,,,,,1,0,0,0,0,0,0,0,0
289-1,6,1977,1.8049999,23.360201,.29260001,108.9675,.59056056,3.1510336,-1.2289487,4.6910496,289,1976,42,.20538686,,3.1783037,-1.2616019,,4.6650858,,0,1,0,0,0,0,0,0,0
290-1,6,1978,1.723,21.224199,.30019999,107.8624,.54406697,3.0551419,-1.2033064,4.6808562,290,1977,42,.59056056,.20538686,3.1510336,-1.2289487,-1.2616019,4.6910496,4.6650858,0,0,1,0,0,0,0,0,0
291-1,6,1979,1.779,22.4842,.32690001,104.5668,.57605141,3.1128128,-1.118101,4.649826,291,1978,42,.54406697,.59056056,3.0551419,-1.2033064,-1.2289487,4.6808562,4.6910496,0,0,0,1,0,0,0,0,0
292-1,6,1980,1.314,24.014999,.26980001,100,.27307594,3.1786785,-1.3100743,4.6051702,292,1979,42,.57605141,.54406697,3.1128128,-1.118101,-1.2033064,4.649826,4.6808562,0,0,0,0,1,0,0,0,0
293-1,6,1981,.699,22.7356,.1839,92.742996,-.35810453,3.1239319,-1.6933632,4.5298324,293,1980,42,.27307594,.57605141,3.1786785,-1.3100743,-1.118101,4.6051702,4.649826,0,0,0,0,0,1,0,0,0
294-1,6,1982,.60600001,24.7679,.1295,90.038597,-.50087529,3.2095485,-2.0440743,4.5002384,294,1981,42,-.35810453,.27307594,3.1239319,-1.6933632,-1.3100743,4.5298324,4.6051702,0,0,0,0,0,0,1,0,0
295-1,1,1977,12.072,18.726999,2.3629,127.164,2.4908886,2.9299662,.85988969,4.8454776,295,1982,43,,,,,,,,0,1,0,0,0,0,0,0,0
296-1,1,1978,17.858999,15.7567,2.4417,127.3866,2.8825076,2.7572656,.89269453,4.8472266,296,1977,43,2.4908886,,2.9299662,.85988969,,4.8454776,,0,0,1,0,0,0,0,0,0
297-1,1,1979,17.698999,16.1252,2.3225,124.6424,2.8735082,2.7803833,.84264421,4.825449,297,1978,43,2.8825076,2.4908886,2.7572656,.89269453,.85988969,4.8472266,4.8454776,0,0,0,1,0,0,0,0,0
298-1,1,1980,17.919001,16.6001,2.2544999,118.9132,2.8858616,2.8094087,.8129282,4.7783937,298,1979,43,2.8735082,2.8825076,2.7803833,.84264421,.89269453,4.825449,4.8472266,0,0,0,0,1,0,0,0,0
299-1,1,1981,10.983,24.500799,2.3283999,99.357597,2.3963487,3.1987057,.84518129,4.5987253,299,1980,43,2.8858616,2.8735082,2.8094087,.8129282,.84264421,4.7783937,4.825449,0,0,0,0,0,1,0,0,0
300-1,1,1982,9.882,28.218399,2.0258,97.242798,2.290715,3.3399742,.70596468,4.5772109,300,1981,43,2.3963487,2.8858616,3.1987057,.84518129,.8129282,4.5987253,4.7783937,0,0,0,0,0,0,1,0,0
301-1,1,1983,8.941,29.1313,1.8637,97.194397,2.1906474,3.3718133,.62256378,4.5767131,301,1982,43,2.290715,2.3963487,3.3399742,.70596468,.84518129,4.5772109,4.5987253,0,0,0,0,0,0,0,1,0
302-1,4,1977,.78100002,23.728701,.24240001,116.225,-.2471801,3.1666853,-1.417166,4.755528,302,1983,44,,,,,,,,0,1,0,0,0,0,0,0,0
303-1,4,1978,.83999997,21.9247,.2341,114.975,-.17435342,3.0876138,-1.4520069,4.7447147,303,1977,44,-.2471801,,3.1666853,-1.417166,,4.755528,,0,0,1,0,0,0,0,0,0
304-1,4,1979,.88099998,21.6863,.25799999,111.825,-.12669767,3.0766807,-1.3547957,4.7169352,304,1978,44,-.17435342,-.2471801,3.0876138,-1.4520069,-1.417166,4.7447147,4.755528,0,0,0,1,0,0,0,0,0
305-1,4,1980,.86500001,20.9797,.2378,106.675,-.14502576,3.0435553,-1.4363253,4.6697869,305,1979,44,-.12669767,-.17435342,3.0766807,-1.3547957,-1.4520069,4.7169352,4.7447147,0,0,0,0,1,0,0,0,0
306-1,4,1981,.71100003,20.5714,.2024,97.300003,-.34108281,3.0239017,-1.5975094,4.5777988,306,1980,44,-.14502576,-.12669767,3.0435553,-1.4363253,-1.3547957,4.6697869,4.7169352,0,0,0,0,0,1,0,0,0
307-1,4,1982,.58899999,22.011,.1717,89.525002,-.52932912,3.0915422,-1.7620065,4.4945178,307,1981,44,-.34108281,-.14502576,3.0239017,-1.5975094,-1.4363253,4.5777988,4.6697869,0,0,0,0,0,0,1,0,0
308-1,4,1983,.75599998,23.707899,.1697,89.599998,-.27971393,3.1658082,-1.7737231,4.4953551,308,1982,44,-.52932912,-.34108281,3.0915422,-1.7620065,-1.5975094,4.4945178,4.5777988,0,0,0,0,0,0,0,1,0
309-1,1,1977,32.290001,24.8594,11.4903,127.164,3.4747577,3.2132359,2.4415033,4.8454776,309,1983,45,,,,,,,,0,1,0,0,0,0,0,0,0
310-1,1,1978,33.916,25.780399,11.571,127.3866,3.5238869,3.2496145,2.4485021,4.8472266,310,1977,45,3.4747577,,3.2132359,2.4415033,,4.8454776,,0,0,1,0,0,0,0,0,0
311-1,1,1979,34.389,26.4298,12.8854,124.6424,3.5377367,3.2744923,2.5560949,4.825449,311,1978,45,3.5238869,3.4747577,3.2496145,2.4485021,2.4415033,4.8472266,4.8454776,0,0,0,1,0,0,0,0,0
312-1,1,1980,33.348,29.2707,13.173,118.9132,3.5069978,3.3765869,2.5781693,4.7783937,312,1979,45,3.5377367,3.5238869,3.2744923,2.5560949,2.4485021,4.825449,4.8472266,0,0,0,0,1,0,0,0,0
313-1,1,1981,31.034,28.0546,11.6649,99.357597,3.4350834,3.3341527,2.4565842,4.5987253,313,1980,45,3.5069978,3.5377367,3.3765869,2.5781693,2.5560949,4.7783937,4.825449,0,0,0,0,0,1,0,0,0
314-1,1,1982,26.226,32.165401,10.877,97.242798,3.2667513,3.4708915,2.3866506,4.5772109,314,1981,45,3.4350834,3.5069978,3.3341527,2.4565842,2.5781693,4.5987253,4.7783937,0,0,0,0,0,0,1,0,0
315-1,1,1983,24.379,32.5037,10.1733,97.194397,3.193722,3.481354,2.3197665,4.5767131,315,1982,45,3.2667513,3.4350834,3.4708915,2.3866506,2.4565842,4.5772109,4.5987253,0,0,0,0,0,0,0,1,0
316-1,1,1976,2.971,19.5527,1.0240999,126.7636,1.0888985,2.9731133,.023814125,4.8423238,316,1983,46,,,,,,,,1,0,0,0,0,0,0,0,0
317-1,1,1977,3.0650001,19.2621,.9267,128.3653,1.1200476,2.9581394,-.076125398,4.8548799,317,1976,46,1.0888985,,2.9731133,.023814125,,4.8423238,,0,1,0,0,0,0,0,0,0
318-1,1,1978,3.03,18.7115,.90679997,124.4507,1.1085626,2.9291384,-.097833388,4.8239098,318,1977,46,1.1200476,1.0888985,2.9581394,-.076125398,.023814125,4.8548799,4.8423238,0,0,1,0,0,0,0,0,0
319-1,1,1979,2.96,21.902901,.9192,125.2176,1.0851892,3.0866191,-.084251545,4.8300529,319,1978,46,1.1085626,1.1200476,2.9291384,-.097833388,-.076125398,4.8239098,4.8548799,0,0,0,1,0,0,0,0,0
320-1,1,1980,2.5569999,19.7124,.86320001,100,.93883467,2.9812479,-.14710885,4.6051702,320,1979,46,1.0851892,1.1085626,3.0866191,-.084251545,-.097833388,4.8300529,4.8239098,0,0,0,0,1,0,0,0,0
321-1,1,1981,2.266,23.8853,.85049999,97.430496,.81801617,3.1732633,-.16193089,4.5791392,321,1980,46,.93883467,1.0851892,2.9812479,-.14710885,-.084251545,4.6051702,4.8300529,0,0,0,0,0,1,0,0,0
322-1,1,1982,2.168,26.339199,.79949999,96.679703,.77380508,3.2710583,-.22376876,4.5714035,322,1981,46,.81801617,.93883467,3.1732633,-.16193089,-.14710885,4.5791392,4.6051702,0,0,0,0,0,0,1,0,0
323-1,4,1976,2.4260001,27.3671,.52590001,116.4,.88624388,3.3093417,-.64264417,4.7570324,323,1982,47,,,,,,,,1,0,0,0,0,0,0,0,0
324-1,4,1977,2.142,25.9189,.40549999,115.7,.76173997,3.2549725,-.90263444,4.7510004,324,1976,47,.88624388,,3.3093417,-.64264417,,4.7570324,,0,1,0,0,0,0,0,0,0
325-1,4,1978,1.973,24.839199,.36050001,112.8,.67955524,3.2124231,-1.0202633,4.7256165,325,1977,47,.76173997,.88624388,3.2549725,-.90263444,-.64264417,4.7510004,4.7570324,0,0,1,0,0,0,0,0,0
326-1,4,1979,1.794,24.450001,.33970001,108.9,.5844478,3.1966302,-1.0796924,4.6904302,326,1978,47,.67955524,.76173997,3.2124231,-1.0202633,-.90263444,4.7256165,4.7510004,0,0,0,1,0,0,0,0,0
327-1,4,1980,1.553,22.2279,.31479999,100,.44018853,3.1013482,-1.1558177,4.6051702,327,1979,47,.5844478,.67955524,3.1966302,-1.0796924,-1.0202633,4.6904302,4.7256165,0,0,0,0,1,0,0,0,0
328-1,4,1981,1.225,22.238701,.25749999,89.199997,.20294087,3.1018341,-1.3567356,4.490881,328,1980,47,.44018853,.5844478,3.1013482,-1.1558177,-1.0796924,4.6051702,4.6904302,0,0,0,0,0,1,0,0,0
329-1,4,1982,1.077,23.042101,.23109999,90.5,.074179418,3.1373229,-1.4649048,4.5053496,329,1981,47,.20294087,.44018853,3.1018341,-1.3567356,-1.1558177,4.490881,4.6051702,0,0,0,0,0,0,1,0,0
330-1,1,1976,1.647,25.613199,.3739,126.7636,.49895543,3.2431078,-.98376691,4.8423238,330,1982,48,,,,,,,,1,0,0,0,0,0,0,0,0
331-1,1,1977,2.3369999,23.1621,.5212,128.3653,.84886801,3.1425173,-.65162146,4.8548799,331,1976,48,.49895543,,3.2431078,-.98376691,,4.8423238,,0,1,0,0,0,0,0,0,0
332-1,1,1978,2.3929999,23.7969,.56059998,124.4507,.87254775,3.1695554,-.57874769,4.8239098,332,1977,48,.84886801,.49895543,3.1425173,-.65162146,-.98376691,4.8548799,4.8423238,0,0,1,0,0,0,0,0,0
333-1,1,1979,2.3540001,27.415199,.56669998,125.2176,.85611606,3.3110976,-.56792527,4.8300529,333,1978,48,.87254775,.84886801,3.1695554,-.57874769,-.65162146,4.8239098,4.8548799,0,0,0,1,0,0,0,0,0
334-1,1,1980,2.2869999,22.884501,.61809999,100,.82724088,3.1304598,-.48110503,4.6051702,334,1979,48,.85611606,.87254775,3.3110976,-.56792527,-.57874769,4.8300529,4.8239098,0,0,0,0,1,0,0,0,0
335-1,1,1981,2.0450001,26.3207,.52389997,97.430496,.71539783,3.2703557,-.64645451,4.5791392,335,1980,48,.82724088,.85611606,3.1304598,-.48110503,-.56792527,4.6051702,4.8300529,0,0,0,0,0,1,0,0,0
336-1,1,1982,1.932,27.6618,.43689999,96.679703,.65855575,3.3200524,-.82805097,4.5714035,336,1981,48,.71539783,.82724088,3.2703557,-.64645451,-.48110503,4.5791392,4.6051702,0,0,0,0,0,0,1,0,0
337-1,4,1976,3.7579999,27.266199,1.0149,117.6,1.3238869,3.3056479,.014790055,4.7672892,337,1982,49,,,,,,,,1,0,0,0,0,0,0,0,0
338-1,4,1977,3.6919999,24.301399,.95050001,115.875,1.3061683,3.1905339,-.050767105,4.752512,338,1976,49,1.3238869,,3.3056479,.014790055,,4.7672892,,0,1,0,0,0,0,0,0,0
339-1,4,1978,3.721,22.9648,.90710002,113.525,1.3139924,3.1339626,-.097502559,4.7320232,339,1977,49,1.3061683,1.3238869,3.1905339,-.050767105,.014790055,4.752512,4.7672892,0,0,1,0,0,0,0,0,0
340-1,4,1979,3.6989999,22.3913,.97060001,109.875,1.3080624,3.1086724,-.029840833,4.6993432,340,1978,49,1.3139924,1.3061683,3.1339626,-.097502559,-.050767105,4.7320232,4.752512,0,0,0,1,0,0,0,0,0
341-1,4,1980,3.447,22.239799,.88059998,102.225,1.2375042,3.1018834,-.12715182,4.6271763,341,1979,49,1.3080624,1.3139924,3.1086724,-.029840833,-.097502559,4.6993432,4.7320232,0,0,0,0,1,0,0,0,0
342-1,4,1981,2.836,20.686899,.77649999,91.900002,1.0423946,3.0295007,-.25295866,4.5207009,342,1980,49,1.2375042,1.3080624,3.1018834,-.12715182,-.029840833,4.6271763,4.6993432,0,0,0,0,0,1,0,0,0
343-1,4,1982,2.6129999,21.7929,.65079999,90.175003,.96049893,3.0815842,-.42955291,4.5017524,343,1981,49,1.0423946,1.2375042,3.0295007,-.25295866,-.12715182,4.5207009,4.6271763,0,0,0,0,0,0,1,0,0
344-1,6,1976,72.862,25.4009,26.8554,106.1747,4.2885671,3.2347846,3.290467,4.6650858,344,1982,50,,,,,,,,1,0,0,0,0,0,0,0,0
345-1,6,1977,73.291,22.790501,25.636499,108.9675,4.2944379,3.1263437,3.2440171,4.6910496,345,1976,50,4.2885671,,3.2347846,3.290467,,4.6650858,,0,1,0,0,0,0,0,0,0
346-1,6,1978,70.773003,22.2787,26.1747,107.8624,4.2594776,3.103631,3.2647934,4.6808562,346,1977,50,4.2944379,4.2885671,3.1263437,3.2440171,3.290467,4.6910496,4.6650858,0,0,1,0,0,0,0,0,0
347-1,6,1979,72.542,22.929501,25.7472,104.5668,4.2841659,3.1324244,3.2483258,4.649826,347,1978,50,4.2594776,4.2944379,3.103631,3.2647934,3.2440171,4.6808562,4.6910496,0,0,0,1,0,0,0,0,0
348-1,6,1980,64.803001,24.6947,22.4363,100,4.1713519,3.2065887,3.1106801,4.6051702,348,1979,50,4.2841659,4.2594776,3.1324244,3.2483258,3.2647934,4.649826,4.6808562,0,0,0,0,1,0,0,0,0
349-1,6,1981,48.312,24.763201,18.0145,92.742996,3.8776801,3.2093587,2.8911769,4.5298324,349,1980,50,4.1713519,4.2841659,3.2065887,3.1106801,3.2483258,4.6051702,4.649826,0,0,0,0,0,1,0,0,0
350-1,6,1982,40.609001,24.7381,15.8349,90.038597,3.7039897,3.2083445,2.7622163,4.5002384,350,1981,50,3.8776801,4.1713519,3.2093587,2.8911769,3.1106801,4.5298324,4.6051702,0,0,0,0,0,0,1,0,0
351-1,1,1976,.76700002,23.3293,.25060001,125.8064,-.26526845,3.1497102,-1.3838972,4.834744,351,1982,51,,,,,,,,1,0,0,0,0,0,0,0,0
352-1,1,1977,.75599998,22.0299,.2244,127.9649,-.27971393,3.0924006,-1.4943252,4.8517561,352,1976,51,-.26526845,,3.1497102,-1.3838972,,4.834744,,0,1,0,0,0,0,0,0,0
353-1,1,1978,.72500002,21.699301,.2088,125.4294,-.3215836,3.07728,-1.5663784,4.8317432,353,1977,51,-.27971393,-.26526845,3.0924006,-1.4943252,-1.3838972,4.8517561,4.834744,0,0,1,0,0,0,0,0,0
354-1,1,1979,.67000002,23.4722,.1865,125.0259,-.40047753,3.1558168,-1.679324,4.8285208,354,1978,51,-.3215836,-.27971393,3.07728,-1.5663784,-1.4943252,4.8317432,4.8517561,0,0,0,1,0,0,0,0,0
355-1,1,1980,.64499998,22.8039,.1684,106.3044,-.43850499,3.1269317,-1.7814132,4.6663065,355,1979,51,-.40047753,-.3215836,3.1558168,-1.679324,-1.5663784,4.8285208,4.8317432,0,0,0,0,1,0,0,0,0
356-1,1,1981,.56,25.1938,.1384,98.072899,-.57981849,3.226598,-1.9776073,4.585711,356,1980,51,-.43850499,-.40047753,3.1269317,-1.7814132,-1.679324,4.6663065,4.8285208,0,0,0,0,0,1,0,0,0
357-1,1,1982,.55199999,27.728901,.131,96.867401,-.59420729,3.3224752,-2.032558,4.5733433,357,1981,51,-.57981849,-.43850499,3.226598,-1.9776073,-1.7814132,4.585711,4.6663065,0,0,0,0,0,0,1,0,0
358-1,4,1976,14.179,28.0287,2.8489001,116.4,2.651762,3.3332291,1.0469329,4.7570324,358,1982,52,,,,,,,,1,0,0,0,0,0,0,0,0
359-1,4,1977,14.224,24.2376,2.6787,115.7,2.6549306,3.1879051,.98533159,4.7510004,359,1976,52,2.651762,,3.3332291,1.0469329,,4.7570324,,0,1,0,0,0,0,0,0,0
360-1,4,1978,13.965,22.322599,2.5451,112.8,2.6365542,3.1055996,.93416995,4.7256165,360,1977,52,2.6549306,2.651762,3.1879051,.98533159,1.0469329,4.7510004,4.7570324,0,0,1,0,0,0,0,0,0
361-1,4,1979,13.615,22.278999,2.5402,108.9,2.6111722,3.1036446,.93224281,4.6904302,361,1978,52,2.6365542,2.6549306,3.1055996,.93416995,.98533159,4.7256165,4.7510004,0,0,0,1,0,0,0,0,0
362-1,4,1980,12.329,21.6679,2.2657001,100,2.5119543,3.0758319,.81788379,4.6051702,362,1979,52,2.6111722,2.6365542,3.1036446,.93224281,.93416995,4.6904302,4.7256165,0,0,0,0,1,0,0,0,0
363-1,4,1981,10.505,22.2034,2.4591,89.199997,2.3518515,3.1002455,.89979541,4.490881,363,1980,52,2.5119543,2.6111722,3.0758319,.81788379,.93224281,4.6051702,4.6904302,0,0,0,0,0,1,0,0,0
364-1,4,1982,10.973,21.640699,2.6401,90.5,2.3954377,3.0745757,.97081679,4.5053496,364,1981,52,2.3518515,2.5119543,3.1002455,.89979541,.81788379,4.490881,4.6051702,0,0,0,0,0,0,1,0,0
365-1,4,1977,6.8779998,26.023199,1.0358,116.225,1.9283279,3.2589884,.035174057,4.755528,365,1982,53,,,,,,,,0,1,0,0,0,0,0,0,0
366-1,4,1978,6.947,22.3729,1.0567,114.975,1.9383099,3.1078503,.055150837,4.7447147,366,1977,53,1.9283279,,3.2589884,.035174057,,4.755528,,0,0,1,0,0,0,0,0,0
367-1,4,1979,6.895,22.1866,1.0333,111.825,1.9307965,3.0994885,.032757606,4.7169352,367,1978,53,1.9383099,1.9283279,3.1078503,.055150837,.035174057,4.7447147,4.755528,0,0,0,1,0,0,0,0,0
368-1,4,1980,6.586,21.4468,1.0466,106.675,1.8849462,3.0655754,.0455468,4.6697869,368,1979,53,1.9307965,1.9383099,3.0994885,.032757606,.055150837,4.7169352,4.7447147,0,0,0,0,1,0,0,0,0
369-1,4,1981,5.619,21.756001,.92460001,97.300003,1.7261537,3.0798895,-.078394063,4.5777988,369,1980,53,1.8849462,1.9307965,3.0655754,.0455468,.032757606,4.6697869,4.7169352,0,0,0,0,0,1,0,0,0
370-1,4,1982,4.6849999,23.0119,.82910001,89.525002,1.5443659,3.1360114,-.18741448,4.4945178,370,1981,53,1.7261537,1.8849462,3.0798895,-.078394063,.0455468,4.5777988,4.6697869,0,0,0,0,0,0,1,0,0
371-1,4,1983,4.4920001,25.4869,.78390002,89.599998,1.5022981,3.2381647,-.24347378,4.4953551,371,1982,53,1.5443659,1.7261537,3.1360114,-.18741448,-.078394063,4.4945178,4.5777988,0,0,0,0,0,0,0,1,0
372-1,1,1977,3.802,23.7966,.54189998,127.164,1.3355273,3.1695428,-.61267382,4.8454776,372,1983,54,,,,,,,,0,1,0,0,0,0,0,0,0
373-1,1,1978,4.1090002,22.6649,.58170003,127.3866,1.4131798,3.1208174,-.54180038,4.8472266,373,1977,54,1.3355273,,3.1695428,-.61267382,,4.8454776,,0,0,1,0,0,0,0,0,0
374-1,1,1979,4.211,23.049,.63069999,124.6424,1.4377002,3.1376224,-.46092498,4.825449,374,1978,54,1.4131798,1.3355273,3.1208174,-.54180038,-.61267382,4.8472266,4.8454776,0,0,0,1,0,0,0,0,0
375-1,1,1980,4.1560001,24.870001,.64289999,118.9132,1.4245532,3.2136624,-.44176611,4.7783937,375,1979,54,1.4377002,1.4131798,3.1376224,-.46092498,-.54180038,4.825449,4.8472266,0,0,0,0,1,0,0,0,0
376-1,1,1981,3.7590001,22.7146,.58810002,99.357597,1.3241529,3.1230078,-.53085828,4.5987253,376,1980,54,1.4245532,1.4377002,3.2136624,-.44176611,-.46092498,4.7783937,4.825449,0,0,0,0,0,1,0,0,0
377-1,1,1982,3.053,26.2784,.48769999,97.242798,1.1161247,3.2687473,-.71805483,4.5772109,377,1981,54,1.3241529,1.4245532,3.1230078,-.53085828,-.44176611,4.5987253,4.7783937,0,0,0,0,0,0,1,0,0
378-1,1,1983,2.6359999,27.3659,.41859999,97.194397,.9692626,3.3092978,-.87083948,4.5767131,378,1982,54,1.1161247,1.3241529,3.2687473,-.71805483,-.53085828,4.5772109,4.5987253,0,0,0,0,0,0,0,1,0
379-1,4,1976,5.4819999,35.828899,.18520001,116.4,1.70147,3.5787549,-1.6863189,4.7570324,379,1983,55,,,,,,,,1,0,0,0,0,0,0,0,0
380-1,4,1977,6.5279999,33.745098,.2395,115.7,1.8761005,3.5188351,-1.4292018,4.7510004,380,1976,55,1.70147,,3.5787549,-1.6863189,,4.7570324,,0,1,0,0,0,0,0,0,0
381-1,4,1978,6.901,32.785301,.3247,112.8,1.9316664,3.4899802,-1.1248536,4.7256165,381,1977,55,1.8761005,1.70147,3.5188351,-1.4292018,-1.6863189,4.7510004,4.7570324,0,0,1,0,0,0,0,0,0
382-1,4,1979,7.2080002,32.328098,.36610001,108.9,1.9751916,3.4759367,-1.0048487,4.6904302,382,1978,55,1.9316664,1.8761005,3.4899802,-1.1248536,-1.4292018,4.7256165,4.7510004,0,0,0,1,0,0,0,0,0
383-1,4,1980,6.5009999,35.4856,.3876,100,1.871956,3.5691271,-.94778138,4.6051702,383,1979,55,1.9751916,1.9316664,3.4759367,-1.0048487,-1.1248536,4.6904302,4.7256165,0,0,0,0,1,0,0,0,0
384-1,4,1981,5.8000002,35.0923,.43990001,89.199997,1.7578579,3.5579817,-.82120782,4.490881,384,1980,55,1.871956,1.9751916,3.5691271,-.94778138,-1.0048487,4.6051702,4.6904302,0,0,0,0,0,1,0,0,0
385-1,4,1982,5.6560001,37.237499,.50370002,90.5,1.7327169,3.6173162,-.68577439,4.5053496,385,1981,55,1.7578579,1.871956,3.5579817,-.82120782,-.94778138,4.490881,4.6051702,0,0,0,0,0,0,1,0,0
